Country_Name,Country_Code,Indicator_Name,Indicator_Code,2011
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,22.44113818
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,22.67981226
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,18.71794309
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,24.5228292
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,23.04874878
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,21.11281191
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,21.6411502
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,16.48915036
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,21.6882194
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,30.44732865
Europe & Central Asia (developing only),ECA,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,29.161555
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,67.05573936
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,65.7176748
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,56.71345217
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,71.90239214
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,68.5363853
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,66.0033871
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,51.09031216
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,59.95704986
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,69.36188393
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,75.88576659
Europe & Central Asia (developing only),ECA,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,74.15112477
Euro area,EMU,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,16.11395973
Euro area,EMU,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,15.78070131
Euro area,EMU,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,13.93375306
Euro area,EMU,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,18.38404012
Euro area,EMU,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,16.41980462
Euro area,EMU,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,15.00294559
Euro area,EMU,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,9.912805863
Euro area,EMU,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,15.40737481
Euro area,EMU,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,17.62675248
Euro area,EMU,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,17.57987073
Euro area,EMU,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,24.44945204
Euro area,EMU,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,71.86282359
Euro area,EMU,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,68.39041598
Euro area,EMU,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,67.43533465
Euro area,EMU,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,75.97487659
Euro area,EMU,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,75.5910587
Euro area,EMU,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,72.13220083
Euro area,EMU,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,45.55661331
Euro area,EMU,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,67.69994139
Euro area,EMU,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,78.23087605
Euro area,EMU,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,71.55272221
Euro area,EMU,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,73.53059079
Afghanistan,AFG,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,0
Afghanistan,AFG,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,
Afghanistan,AFG,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,
Afghanistan,AFG,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,
Afghanistan,AFG,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,
Afghanistan,AFG,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,
Afghanistan,AFG,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,
Afghanistan,AFG,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,
Afghanistan,AFG,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,
Afghanistan,AFG,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,
Afghanistan,AFG,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,
Afghanistan,AFG,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,5.155655
Afghanistan,AFG,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,
Afghanistan,AFG,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,
Afghanistan,AFG,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,
Afghanistan,AFG,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,
Afghanistan,AFG,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,
Afghanistan,AFG,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,
Afghanistan,AFG,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,
Afghanistan,AFG,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,
Afghanistan,AFG,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,
Afghanistan,AFG,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,
Albania,ALB,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,12.26997
Albania,ALB,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,12.21412
Albania,ALB,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,13.38778
Albania,ALB,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,11.85928
Albania,ALB,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,12.30629
Albania,ALB,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,13.15845
Albania,ALB,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,7.038999
Albania,ALB,"ATM is main mode of deposit, rural (% with an account, age 15+)",WP11631.1.10,8.456477
Albania,ALB,"ATM is main mode of deposit, secondary education or more (% with an account, age 15+)",WP11631.1.7,13.5521
Albania,ALB,"ATM is main mode of deposit, urban (% with an account, age 15+)",WP11631.1.11,15.15138
Albania,ALB,"ATM is main mode of deposit, young adults (% with an account, age 15-24)",WP11631.1.4,8.269194
Albania,ALB,"ATM is main mode of withdrawal  (% with an account, age 15+)",WP11630.1.1,64.71838
Albania,ALB,"ATM is main mode of withdrawal, female (% with an account, age 15+)",WP11630.1.3,66.27618
Albania,ALB,"ATM is main mode of withdrawal, income, bottom 40% (% with an account, age 15+)",WP11630.1.8,60.43151
Albania,ALB,"ATM is main mode of withdrawal, income, top 60% (% with an account, age 15+)",WP11630.1.9,66.20234
Albania,ALB,"ATM is main mode of withdrawal, male (% with an account, age 15+)",WP11630.1.2,63.70652
Albania,ALB,"ATM is main mode of withdrawal, older adults (% with an account, age 25+)",WP11630.1.5,63.02192
Albania,ALB,"ATM is main mode of withdrawal, primary education or less (% with an account, age 15+)",WP11630.1.6,39.39871
Albania,ALB,"ATM is main mode of withdrawal, rural (% with an account, age 15+)",WP11630.1.10,54.64382
Albania,ALB,"ATM is main mode of withdrawal, secondary education or more (% with an account, age 15+)",WP11630.1.7,71.0733
Albania,ALB,"ATM is main mode of withdrawal, urban (% with an account, age 15+)",WP11630.1.11,72.56166
Albania,ALB,"ATM is main mode of withdrawal, young adults (% with an account, age 15-24)",WP11630.1.4,72.18166
Algeria,DZA,"ATM is main mode of deposit  (% with an account, age 15+)",WP11631.1.1,2.328966
Algeria,DZA,"ATM is main mode of deposit, female (% with an account, age 15+)",WP11631.1.3,2.418703
Algeria,DZA,"ATM is main mode of deposit, income, bottom 40% (% with an account, age 15+)",WP11631.1.8,2.325013
Algeria,DZA,"ATM is main mode of deposit, income, top 60% (% with an account, age 15+)",WP11631.1.9,2.331112
Algeria,DZA,"ATM is main mode of deposit, male (% with an account, age 15+)",WP11631.1.2,2.287897
Algeria,DZA,"ATM is main mode of deposit, older adults (% with an account, age 25+)",WP11631.1.5,2.046457
Algeria,DZA,"ATM is main mode of deposit, primary education or less (% with an account, age 15+)",WP11631.1.6,1.864787
